瘤痢,瘤痢疙,老矫,弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%),啊炼矫埃(hr),钦拌 老荤樊(MJ/m2),乞闭 傈款樊(1/10)
239,技辆,2019-05-31,13.7,24.1,.2,,,,,
239,技辆,2019-06-01,10.8,23.5,,.9,69.9,,,
239,技辆,2019-06-02,13.5,28,,1.1,53.5,,,
239,技辆,2019-06-03,13.9,29.5,,.9,47,,,
239,技辆,2019-06-04,16.3,30.9,,1.2,53.9,,,
239,技辆,2019-06-05,16.6,30.2,,1.2,67.3,14.6,,
239,技辆,2019-06-06,16.2,27.3,29.2,1.1,78.8,14.6,,
239,技辆,2019-06-07,16.1,21.3,35.1,1.7,88.6,14.6,,
239,技辆,2019-06-08,15.5,27,,.8,72.9,14.6,,
239,技辆,2019-06-09,17.6,27.3,15.5,1,72.3,14.6,,
239,技辆,2019-06-10,14.8,22.8,7,1.9,70.9,14.6,,
239,技辆,2019-06-11,16.4,25.5,,1.2,64.3,14.6,,
239,技辆,2019-06-12,14.2,27.2,,1.2,66.4,14.6,,
239,技辆,2019-06-13,15.3,29.9,,1.1,58.9,14.6,,
239,技辆,2019-06-14,17.7,25,,1,68.4,14.6,,
239,技辆,2019-06-15,15.6,26.6,,1.6,66,14.7,,
239,技辆,2019-06-16,14.9,27.2,,1,68.9,14.7,,
239,技辆,2019-06-17,16.9,26.6,,1.1,64,14.6,,
239,技辆,2019-06-18,16.5,25.9,0,.8,73.8,14.7,,
239,技辆,2019-06-19,18.3,26.3,,.8,74.1,14.7,,
239,技辆,2019-06-20,17.8,28.2,,1.2,70,14.7,,
239,技辆,2019-06-21,19.5,28,,1.6,65.8,14.7,,
239,技辆,2019-06-22,18.8,29.6,,1.1,67.6,14.7,,
239,技辆,2019-06-23,17.9,29,,1.5,54.3,14.7,,
239,技辆,2019-06-24,17.8,30.1,,.9,58.4,14.7,,
239,技辆,2019-06-25,17,32.2,,1,55.1,14.7,,
239,技辆,2019-06-26,19.1,24,2.7,1.3,76.3,14.7,,
239,技辆,2019-06-27,20.5,29.5,.1,.6,79.6,14.6,,
239,技辆,2019-06-28,21.3,29.2,,.9,73.5,14.6,,
239,技辆,2019-06-29,20.3,23.9,13.9,1.1,92.1,14.6,,
239,技辆,2019-06-30,20.1,27.7,,.8,82.9,14.6,,
239,技辆,2019-07-01,19.4,26.8,,.8,75.3,14.6,,
239,技辆,2019-07-02,16.1,29.3,,.9,71.3,14.6,,
239,技辆,2019-07-03,18.3,28.3,,.9,77.4,14.6,,
239,技辆,2019-07-04,17.8,31.5,,1,64.9,14.6,,
239,技辆,2019-07-05,18.8,34.4,,1.2,54.9,14.6,,
239,技辆,2019-07-06,19.6,32.5,,2.2,50.5,14.6,,
239,技辆,2019-07-07,21.5,30,,2.8,53.4,14.6,,
239,技辆,2019-07-08,20,29.2,.1,2.1,56,14.5,,
239,技辆,2019-07-09,19.7,29.3,,2.5,56.8,14.5,,
239,技辆,2019-07-10,19.3,23.6,14.4,2.3,78.5,14.5,,
239,技辆,2019-07-11,19.2,22.9,6.7,1.2,92.6,14.5,,
239,技辆,2019-07-12,19.3,27.5,,1,76.1,14.5,,
239,技辆,2019-07-13,19.7,28.3,,.8,79.9,14.5,,
239,技辆,2019-07-14,19.6,30,,.9,77.4,14.5,,
239,技辆,2019-07-15,19.4,27.9,51,.9,85.8,14.4,,
239,技辆,2019-07-16,19.9,30.3,,1,81.1,14.4,,
239,技辆,2019-07-17,21.4,29.5,.2,1,80.4,14.4,,
239,技辆,2019-07-18,22.5,29,1.6,1,82.3,14.4,,
239,技辆,2019-07-19,23.3,29.2,,2,77.9,14.3,,
239,技辆,2019-07-20,23.4,28.4,17.8,2.9,88,14.3,,
239,技辆,2019-07-21,21.8,28.4,21,1.3,91.4,14.3,,
239,技辆,2019-07-22,25,32.1,,1,78.4,14.3,,
239,技辆,2019-07-23,25.2,32.8,.2,.7,79.3,14.3,,
239,技辆,2019-07-24,24.9,29.7,.3,.7,83.3,14.2,,
239,技辆,2019-07-25,25,26.6,78.3,.6,97.5,14.2,,
239,技辆,2019-07-26,25.5,28.5,8.9,.9,92.8,14.2,,
239,技辆,2019-07-27,24.9,30.6,56,.8,89.8,14.2,,
239,技辆,2019-07-28,24.8,28.4,17.9,1,92.8,14.1,,
239,技辆,2019-07-29,24,32,,1.1,75.8,14.1,,
239,技辆,2019-07-30,25.9,32.7,,1.9,76,14.1,,
239,技辆,2019-07-31,26.4,32.5,,1.7,76,14.1,,
239,技辆,2019-08-01,25.2,33.2,,.9,79.1,14,,
239,技辆,2019-08-02,24.4,34.2,,1.1,73.8,14,,
239,技辆,2019-08-03,24.9,34.9,18.3,1.1,84.9,14,,
239,技辆,2019-08-04,24.3,34.7,,.9,78.4,13.9,,
239,技辆,2019-08-05,24.7,35.5,,.8,77.1,13.9,,
239,技辆,2019-08-06,26.3,32.9,,1.5,64.3,13.9,,
239,技辆,2019-08-07,23.3,32.6,28.4,1.1,82.5,13.8,,
239,技辆,2019-08-08,24.4,32.3,15.8,1,89.5,13.8,,
239,技辆,2019-08-09,24.4,34,,.9,82.8,13.8,,
239,技辆,2019-08-10,25.1,33.9,,2.1,70.4,13.7,,
239,技辆,2019-08-11,25.5,33.6,1.7,3.7,61.8,13.7,,
239,技辆,2019-08-12,24.5,32.3,14.5,1.1,90.1,13.7,,
239,技辆,2019-08-13,24.5,34.2,.5,.8,83.8,13.7,,
239,技辆,2019-08-14,24.8,33.8,,2,70.6,13.6,,
239,技辆,2019-08-15,23.8,29.2,24.4,1.8,91.5,13.6,,
239,技辆,2019-08-16,23.5,30.3,.1,1.2,81.4,13.5,,
239,技辆,2019-08-17,21.7,29.8,5.1,1.5,83.4,13.5,,
239,技辆,2019-08-18,19,30,,1,76.6,13.5,,
239,技辆,2019-08-19,20,31.1,,.9,74.3,13.5,,
239,技辆,2019-08-20,22.3,30.9,,1.7,70.8,13.4,,
239,技辆,2019-08-21,22.7,31.9,,1.3,72.1,13.4,,
239,技辆,2019-08-22,22.6,29.6,30.9,1.1,81.5,13.3,,
239,技辆,2019-08-23,20.4,29.7,,1,74.3,13.3,,
239,技辆,2019-08-24,18.8,27.3,,.6,82.9,13.3,,
239,技辆,2019-08-25,18.2,29.8,,.8,75.9,13.2,,
239,技辆,2019-08-26,18.5,31.5,,.9,73.8,13.2,,
239,技辆,2019-08-27,19.3,25.3,38.2,1.3,90.8,13.2,,
239,技辆,2019-08-28,20.6,28.4,.9,.7,86.6,13.1,,
239,技辆,2019-08-29,19.6,27.6,8.9,.9,92.4,13.1,,
239,技辆,2019-08-30,17.8,27.5,,1.1,77.9,13.1,,
239,技辆,2019-08-31,17.4,27.6,,.9,79,13,,
239,技辆,2019-09-01,17.8,27.4,,.6,83.4,13,,
239,技辆,2019-09-02,19,27,3.3,1.1,82.4,12.9,,
239,技辆,2019-09-03,20,23.7,1.1,1.3,92.6,12.9,,
239,技辆,2019-09-04,21.3,28.2,7.1,.9,92.6,12.9,,
239,技辆,2019-09-05,21.1,27.6,28.1,.8,95,12.8,,
239,技辆,2019-09-06,22,27.8,.6,1.3,87,12.8,,
239,技辆,2019-09-07,22.4,30.5,1.4,4.3,79.3,12.8,,
239,技辆,2019-09-08,22,28.3,.6,.8,88.9,12.7,,
239,技辆,2019-09-09,22.3,24.8,7.2,.9,95.6,12.7,,
239,技辆,2019-09-10,23.2,30.5,,1.1,76.6,12.6,,
239,技辆,2019-09-11,23.1,26.7,1.8,1.8,85.8,12.6,,
239,技辆,2019-09-12,19.3,23.8,10.1,2.3,81.6,12.6,,
239,技辆,2019-09-13,18.2,27.1,,1.6,70.5,12.5,,
239,技辆,2019-09-14,18.6,27.7,,.8,84.1,12.5,,
239,技辆,2019-09-15,21.1,30.1,,1,75.3,12.5,,
239,技辆,2019-09-16,20.4,29,,1.1,70.6,12.4,,
239,技辆,2019-09-17,16.3,27.8,,1.2,64,12.4,,
239,技辆,2019-09-18,14.5,27.9,,1.6,58.1,12.3,,
239,技辆,2019-09-19,12,26.5,,1,64.8,12.3,,
239,技辆,2019-09-20,16.2,23.2,,1.8,67.3,12.3,,
239,技辆,2019-09-21,15.3,19.9,39.2,2,84.4,12.2,,
239,技辆,2019-09-22,14.9,17.6,62.7,2.2,92.4,12.2,,
239,技辆,2019-09-23,13.7,22.2,,1.7,71.4,12.2,,
239,技辆,2019-09-24,12.4,24.9,,.7,79.5,12.1,,
239,技辆,2019-09-25,12.2,24.3,,.6,83.3,12.1,,
239,技辆,2019-09-26,16.5,24.6,,1.1,78,12,,
239,技辆,2019-09-27,16.7,28.7,,.7,72.9,12,,
239,技辆,2019-09-28,19.4,29.3,,.9,75,12,,
239,技辆,2019-09-29,17.3,28.6,,.7,69.6,11.9,,
239,技辆,2019-09-30,14.7,29.4,,.6,74.4,11.9,,
239,技辆,2019-10-01,17.4,25.5,,.5,85.9,11.8,,
239,技辆,2019-10-02,19.9,21.6,66.2,1.6,95.3,11.8,,
239,技辆,2019-10-03,19.2,27.1,14.2,2.5,81.4,11.8,,
239,技辆,2019-10-04,19.2,27.4,,.7,84.3,11.7,,
239,技辆,2019-10-05,15.9,21.6,,.9,81.1,11.7,,
239,技辆,2019-10-06,14.4,21.7,,2.2,66,11.6,,
239,技辆,2019-10-07,13.9,16.9,8.4,1.1,92.9,11.6,,
239,技辆,2019-10-08,9.3,22.1,,1.5,72.6,11.6,,
239,技辆,2019-10-09,5.9,20.5,,.7,70.1,11.5,,
239,技辆,2019-10-10,9.5,18.6,,.6,76.9,11.5,,
239,技辆,2019-10-11,11,24,,.7,68.6,11.5,,
239,技辆,2019-10-12,13.8,23.8,,1.7,57.3,11.4,,
239,技辆,2019-10-13,10.2,21.7,,1.2,66.4,11.4,,
239,技辆,2019-10-14,8.8,20.2,,1.3,74.8,11.3,,
239,技辆,2019-10-15,7.3,19.1,,1,73,11.3,,
239,技辆,2019-10-16,8.7,20.8,,.6,73.3,11.3,,
239,技辆,2019-10-17,10.5,20.4,,1.1,73,11.2,,
239,技辆,2019-10-18,10.9,21.1,,1.3,73.6,11.2,,
239,技辆,2019-10-19,11.6,23,,.8,73.4,11.2,,
239,技辆,2019-10-20,10.6,21.8,,.5,78.1,11.1,,
239,技辆,2019-10-21,8.8,23.1,,.5,77.5,11.1,,
239,技辆,2019-10-22,10.3,22.8,,.7,72.4,11.1,,
239,技辆,2019-10-23,12.4,19,,.9,72.3,11,,
239,技辆,2019-10-24,13.5,22.9,,1,57.1,11,,
239,技辆,2019-10-25,11.7,22.3,,.9,64,10.9,,
239,技辆,2019-10-26,6.9,16.3,,1.5,64.6,10.9,,
239,技辆,2019-10-27,3.4,17,,1,68.5,10.9,,
239,技辆,2019-10-28,4.1,17.8,,1.1,69,10.8,,
239,技辆,2019-10-29,8.6,18.1,2.8,1.4,73.6,10.8,,
239,技辆,2019-10-30,4.9,17.6,,.8,74.8,10.8,,
239,技辆,2019-10-31,5,19.8,,.7,79.8,10.7,,
239,技辆,2019-11-01,9.2,21.3,,.7,71.3,10.7,,
239,技辆,2019-11-02,6.7,19,,.3,77.3,10.7,,
239,技辆,2019-11-03,8.6,19.8,,.5,74,10.6,,
239,技辆,2019-11-04,8.5,19.7,,.4,68.3,10.6,,
239,技辆,2019-11-05,5.8,19.5,,.7,75.5,10.6,,
239,技辆,2019-11-06,3.9,17.8,,.7,73.5,10.5,,
239,技辆,2019-11-07,3.8,16.8,,1.1,65.4,10.5,,
239,技辆,2019-11-08,-.7,14.3,,.8,57.6,10.5,,
239,技辆,2019-11-09,.3,16.6,,.5,58.1,10.4,,
239,技辆,2019-11-10,2.7,15.1,16.6,.7,74.8,10.4,,
239,技辆,2019-11-11,8.2,15.9,3.2,1.5,79.4,10.4,,
239,技辆,2019-11-12,2.7,15.4,,.6,78.5,10.3,,
239,技辆,2019-11-13,4.4,12.5,1.5,1.4,83,10.3,,
239,技辆,2019-11-14,-1.3,6.6,,2.5,41.3,10.3,,
239,技辆,2019-11-15,-2.2,16.8,.2,1.8,61.9,10.3,,
239,技辆,2019-11-16,7.4,17.3,2,1,84,10.2,,
239,技辆,2019-11-17,5.6,14,74.6,1,95.6,10.2,,
239,技辆,2019-11-18,1.8,14,11,2.3,72.4,10.2,,
239,技辆,2019-11-19,-1,5.1,.1,1.7,70.9,10.1,,
239,技辆,2019-11-20,-2.6,8,,1,56.3,10.1,,
239,技辆,2019-11-21,-3.1,10.5,,.7,53.9,10.1,,
239,技辆,2019-11-22,2.9,16.7,,.7,54.5,10.1,,
239,技辆,2019-11-23,5,17.8,.1,.6,71.4,10,,
239,技辆,2019-11-24,7.3,20.9,2.9,1.5,77.6,10,,
239,技辆,2019-11-25,1.1,7.9,,1.9,66.4,10,,
239,技辆,2019-11-26,.3,14.1,0,.8,70.4,10,,
239,技辆,2019-11-27,.9,8.1,,2.1,51.8,10,,
239,技辆,2019-11-28,-1.4,11.2,,.8,65.4,9.9,,
239,技辆,2019-11-29,-2.4,8.9,,.8,58.6,9.9,,
239,技辆,2019-11-30,-2.5,11.8,,.7,53.1,9.9,,
239,技辆,2019-12-01,4.3,7.6,8.9,.4,79.5,9.9,,
239,技辆,2019-12-02,-1.1,6.3,,2.2,61.9,9.9,,
239,技辆,2019-12-03,-3.2,6.4,.8,1,81,9.9,,
239,技辆,2019-12-04,.3,9.7,0,1.3,65.1,9.8,,
239,技辆,2019-12-05,-5.8,3.5,,2.8,45.6,9.8,,
239,技辆,2019-12-06,-9.4,1.3,,1.5,44.3,9.8,,
239,技辆,2019-12-07,-7.7,5.7,,.6,66.5,9.8,,
239,技辆,2019-12-08,-4.5,6.4,,.7,73.1,9.8,,
239,技辆,2019-12-09,-3.8,9.9,,.6,70.6,9.7,,
239,技辆,2019-12-10,2.6,13.6,,.9,72.9,9.8,,
239,技辆,2019-12-11,2.5,11.9,,2.1,65.9,9.7,,
239,技辆,2019-12-12,-2.4,5.3,,1.7,50.5,9.7,,
239,技辆,2019-12-13,-5.2,6.2,,.6,54.9,9.7,,
239,技辆,2019-12-14,.2,8.4,.9,1.3,58.3,9.7,,
239,技辆,2019-12-15,-2.2,12,,.6,63.4,9.7,,
239,技辆,2019-12-16,1.6,14.8,,.5,67.8,9.7,,
239,技辆,2019-12-17,5.2,10.3,2.2,.9,86.8,9.7,,
239,技辆,2019-12-18,-.5,6,,1.3,66.6,9.7,,
239,技辆,2019-12-19,-3.7,5.2,,1.4,52.9,9.7,,
239,技辆,2019-12-20,-3.1,5.1,.1,1.2,66.9,9.7,,
239,技辆,2019-12-21,-5.4,4.6,,.8,71.4,9.7,,
239,技辆,2019-12-22,-1.3,8.9,,.6,70.5,9.7,,
239,技辆,2019-12-23,0,7.4,.2,1.4,74.1,9.7,,
239,技辆,2019-12-24,-2.7,5.3,,.5,78.5,9.7,,
239,技辆,2019-12-25,-4.3,6.1,,.7,72.1,9.7,,
