지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10)
192,진주,2020-01-01,-8.2,6.9,,.5,56.1,9.8,11.67,1.4
192,진주,2020-01-02,-6.4,9,,.3,74,9.9,10.78,.3
192,진주,2020-01-03,-5.9,10.8,,.4,71.9,9.9,11.08,0
192,진주,2020-01-04,-5.8,10.6,,.6,67.4,9.9,10.67,2.4
192,진주,2020-01-05,-6.5,10.8,,.4,61.6,9.9,12.39,2
192,진주,2020-01-06,-2.4,4.6,13.8,.3,85.3,9.9,1.67,9.8
192,진주,2020-01-07,4.5,17.3,40.3,.9,93.6,9.9,1.59,8.8
192,진주,2020-01-08,3.2,14.3,,3.1,66.4,9.9,5.99,6.4
192,진주,2020-01-09,-1.9,9.8,,.8,63.9,9.9,10.11,6.4
192,진주,2020-01-10,-5,9.6,,.4,70.6,10,11.71,5
192,진주,2020-01-11,-4.2,10.2,,.5,66.4,10,11.71,4.8
192,진주,2020-01-12,-3.1,8.2,,.9,60.5,10,11.97,3
192,진주,2020-01-13,-5.5,7.4,,.6,68.8,10,12.02,3.9
192,진주,2020-01-14,-4,6.1,,.8,58.9,10,7.92,6
192,진주,2020-01-15,-6.6,7.3,,.7,63.9,10,13.11,2.5
192,진주,2020-01-16,-5,7.8,,.6,52.8,10.1,10.53,8.6
192,진주,2020-01-17,-3.5,9.6,,.4,51.1,10.1,9.76,5.3
192,진주,2020-01-18,-5.4,11.8,,.6,51.6,10.1,11.88,4.3
192,진주,2020-01-19,-4.5,10.5,,.6,65.9,10.1,9.38,4.8
192,진주,2020-01-20,-5.6,9.3,,.7,66.9,10.2,12.12,.9
192,진주,2020-01-21,-7,9.3,,.7,53,10.2,14.67,1.5
192,진주,2020-01-22,0,4.9,20.1,.5,76,10.2,1.39,8.6
192,진주,2020-01-23,4.4,10.8,7.9,.6,93.4,10.2,5.1,8.5
192,진주,2020-01-24,.6,13.3,,.6,77.4,10.2,11.08,6.6
192,진주,2020-01-25,2.2,10.3,,.5,82.4,10.3,5.01,9.9
192,진주,2020-01-26,1.1,11.6,,1.1,72.4,10.3,7.09,9.6
192,진주,2020-01-27,4.5,8.5,22.8,1.7,89.6,10.3,1.18,8.5
192,진주,2020-01-28,5.6,11.3,.3,1.2,70.4,10.4,5.48,5
192,진주,2020-01-29,4.2,10.5,.5,.7,81.6,10.4,6.14,7.6
192,진주,2020-01-30,-.2,10.4,,.8,72.6,10.4,9.9,6.9
192,진주,2020-01-31,-2.8,10.2,,.6,73.1,10.4,13.79,2.3
192,진주,2020-02-01,-4.7,10.1,,.8,70.3,10.5,13.62,1.1
192,진주,2020-02-02,-3.6,10.9,,.5,74.1,10.5,12.71,4
192,진주,2020-02-03,-3.8,9.6,,.7,65,10.5,13.74,2.3
192,진주,2020-02-04,-6.7,9.2,,.7,60.9,10.6,15.96,.3
192,진주,2020-02-05,-4.2,4.8,,2.2,35.5,10.6,16.18,.5
192,진주,2020-02-06,-7.5,5.3,,1.1,31.5,10.6,13.91,4.4
192,진주,2020-02-07,-4.8,9.8,,.7,40.9,10.6,12.61,6
192,진주,2020-02-08,-4,8.9,,1.6,49.3,10.7,15.32,.1
192,진주,2020-02-09,-6.5,8.4,,.7,50.4,10.7,16.22,0
192,진주,2020-02-10,-5.3,12.6,,.7,64.5,10.7,14.07,0
192,진주,2020-02-11,-4.5,14.3,,.6,62.9,10.8,13.13,5.9
192,진주,2020-02-12,6,11.3,20.8,.6,93.9,10.8,2.4,9.1
192,진주,2020-02-13,3.6,15.9,,.7,85.1,10.8,14,5.1
192,진주,2020-02-14,3.7,19.2,,.5,73.6,10.9,15.95,3.9
192,진주,2020-02-15,2.4,16.8,.5,.7,76.4,10.9,11.08,7.5
192,진주,2020-02-16,-.7,10.3,4,1.8,64,10.9,8.61,8.4
192,진주,2020-02-17,-2.5,2.4,,2.9,51.1,11,13.12,5
192,진주,2020-02-18,-6.9,8.5,,1.1,48.3,11,18.41,0
192,진주,2020-02-19,-5.5,12.2,,.6,54.9,11,16.63,4.8
192,진주,2020-02-20,-2.3,14.8,,.6,58.9,11.1,16.84,1.9
192,진주,2020-02-21,-2.5,15.1,1.3,.8,70.4,11.1,16.19,6.1
192,진주,2020-02-22,1.1,13,.5,2,52.9,11.2,17.63,.5
192,진주,2020-02-23,-4,11.4,,.9,59.1,11.2,19.03,0
192,진주,2020-02-24,-3.8,16.1,.6,.7,66,11.2,16.35,4.4
192,진주,2020-02-25,7.6,9.1,17.1,.8,94.5,11.3,1.12,8.5
192,진주,2020-02-26,4,15.2,,.9,79.1,11.3,13.15,5.1
192,진주,2020-02-27,4.3,11,,1.1,67.6,11.3,11.47,5.3
192,진주,2020-02-28,3.5,7.1,1.3,.5,84.5,11.4,2.6,7.8
192,진주,2020-02-29,2,12.1,,.7,83.1,11.4,9.23,8.1
192,진주,2020-03-01,1.7,15.3,0,.9,74.1,11.4,12.13,8.4
192,진주,2020-03-02,1.7,13.7,,1.6,43.6,11.5,19.34,4.5
192,진주,2020-03-03,.8,13.2,,.6,67.6,11.5,11.4,8
192,진주,2020-03-04,1.3,12,0,1.8,52,11.5,19.1,4.6
192,진주,2020-03-05,-3.3,11.8,,1.2,46.8,11.6,20.44,0
192,진주,2020-03-06,-4.7,13.8,,.8,57.5,11.6,20.58,1.8
192,진주,2020-03-07,.1,9.6,3.9,.6,86.6,11.7,6.75,7.5
192,진주,2020-03-08,-.7,17.2,,.8,75.1,11.7,20.63,2.4
192,진주,2020-03-09,.5,13.7,7.4,.4,85,11.7,6.79,9.5
192,진주,2020-03-10,3.5,11,10.3,1,79.3,11.8,3.7,7.8
192,진주,2020-03-11,-2.3,12.3,,1.5,56.6,11.8,22.38,0
192,진주,2020-03-12,-3.5,15.6,,1,56.8,11.8,22.04,2.1
192,진주,2020-03-13,.8,17.3,,.8,52.6,11.9,18.23,6.8
192,진주,2020-03-14,2.7,11.8,,2.2,24.1,11.9,22.91,2.3
192,진주,2020-03-15,-1.9,13.1,0,2.9,46.1,11.9,17.76,4.1
192,진주,2020-03-16,-2.5,11.9,,1.4,42.8,12,22.67,1.5
192,진주,2020-03-17,-1.5,18.7,,1.6,54.4,12,20.85,2.3
192,진주,2020-03-18,0,18.2,,.9,58.8,12.1,22.23,1.3
192,진주,2020-03-19,5.3,18.5,,2.9,50.1,12.1,20.3,1.8
192,진주,2020-03-20,2.8,16.4,,1.9,36.6,12.1,22.46,0
192,진주,2020-03-21,1.6,20.8,,1.3,62.3,12.2,20.3,1.3
192,진주,2020-03-22,7.4,22.2,,1.2,75.1,12.2,18.86,2.5
192,진주,2020-03-23,.8,20.3,,1.4,46.6,12.3,22.95,0
192,진주,2020-03-24,1.7,18.7,,.8,56.8,12.3,22.29,0
192,진주,2020-03-25,1.3,19.6,,.9,58.9,12.3,22.45,2.9
192,진주,2020-03-26,8,12.6,18.6,.4,88.8,12.4,2.26,9.9
192,진주,2020-03-27,9.6,22.6,.9,.7,79.6,12.4,10.68,8.1
192,진주,2020-03-28,5.5,12.3,,.8,59.3,12.4,8.74,8.8
192,진주,2020-03-29,.4,15.9,,1.2,65.8,12.5,20.93,5.5
192,진주,2020-03-30,6.3,18.4,,.9,64.3,12.5,21.67,5.9
192,진주,2020-03-31,2.9,20.6,,.7,65.9,12.5,22.41,3.9
192,진주,2020-04-01,8.3,20.9,.4,1.3,46.8,12.6,15.89,4.9
192,진주,2020-04-02,1,18.1,,.8,44.6,12.6,22.96,1.6
192,진주,2020-04-03,1.2,19.8,,.9,47.9,12.7,23.81,.9
192,진주,2020-04-04,.7,21.7,,1.3,42.1,12.7,24.45,0
192,진주,2020-04-05,-1.4,16.7,,.7,43.8,12.7,25.91,0
192,진주,2020-04-06,-1.5,18.4,,.7,51.1,12.8,24.31,4
192,진주,2020-04-07,3.5,22.1,,.8,51.3,12.8,22.03,1.5
192,진주,2020-04-08,3.3,20,,1,37.3,12.8,24.65,2
192,진주,2020-04-09,.5,18.2,,.8,42,12.9,23.62,1.8
192,진주,2020-04-10,7.4,11.7,0,.5,65.8,12.9,4.97,8.4
192,진주,2020-04-11,6.4,13.3,4.2,.5,79.3,12.9,8.97,9
192,진주,2020-04-12,6.5,13.2,4.4,1.2,73,13,10.67,6.6
192,진주,2020-04-13,3.5,16.7,,1.3,49.6,13,22.14,1.9
192,진주,2020-04-14,-.3,22.8,,,54.8,13.1,26.2,2.4
