ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,ÃÖÀú±â¿Â(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),ÀÏ°­¼ö·®(mm),Æò±Õ Ç³¼Ó(m/s),Æò±Õ »ó´ë½Àµµ(%),°¡Á¶½Ã°£(hr),ÇÕ°è ÀÏ»ç·®(MJ/m2),Æò±Õ Àü¿î·®(1/10)
105,°­¸ª,2020-01-01,-3,6.4,,4.6,42.5,9.6,10.86,0
105,°­¸ª,2020-01-02,.6,7.7,,4.6,46.4,9.6,10.05,.6
105,°­¸ª,2020-01-03,2.9,11.4,,3.5,33.6,9.6,9.93,.6
105,°­¸ª,2020-01-04,2.5,10.1,,3.5,32.8,9.6,10.64,.6
105,°­¸ª,2020-01-05,.7,10.6,,2.5,43.9,9.7,10.51,1.9
105,°­¸ª,2020-01-06,2.2,9.3,.1,1.9,50.8,9.7,2.57,8.9
105,°­¸ª,2020-01-07,5.1,7.9,50,1.3,94.6,9.7,1.11,10
105,°­¸ª,2020-01-08,4.7,11,9.1,3.4,76,9.7,3.7,6
105,°­¸ª,2020-01-09,2.1,6.9,,3.8,50.6,9.7,10.59,1.8
105,°­¸ª,2020-01-10,.8,10.7,,2.8,44,9.7,10.52,2.6
105,°­¸ª,2020-01-11,1.7,8.6,,2.7,42.6,9.7,10.87,2.4
105,°­¸ª,2020-01-12,1,8.5,,3.4,43.1,9.8,10.45,5.4
105,°­¸ª,2020-01-13,-.7,4.4,,4.3,37.4,9.8,11.5,1.4
105,°­¸ª,2020-01-14,-2.1,5.9,,2.5,35,9.8,11.19,.9
105,°­¸ª,2020-01-15,-1,7,,3.2,33.3,9.8,11.83,.1
105,°­¸ª,2020-01-16,-1.5,7.1,,2.4,36.1,9.9,10.92,3.6
105,°­¸ª,2020-01-17,.3,6.2,2.9,2.6,64.5,9.9,3.03,7.4
105,°­¸ª,2020-01-18,1.8,7.9,3.7,1.6,75.5,9.9,7.44,6.6
105,°­¸ª,2020-01-19,2.7,6.1,,3.6,45.8,9.9,7.68,5
105,°­¸ª,2020-01-20,1.1,7.5,,3.1,38.8,10,11.71,1
105,°­¸ª,2020-01-21,-1.9,7.8,,2.3,42,10,12.35,2.3
105,°­¸ª,2020-01-22,4.7,9.8,,2.7,31.9,10,3.45,9.3
105,°­¸ª,2020-01-23,3.4,12.5,,2,54.5,10,10.95,4.9
