구분,일시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,power
동해하수종말처리장 태양광,2018-01-01,0,0,0,0,0,0,0,7,245,776,1361,1681,1733,1645,1231,698,196,2,0,0,0,0,0,0,9575
동해하수종말처리장 태양광,2018-01-02,0,0,0,0,0,0,0,5,185,540,1021,1276,1363,1260,1004,551,153,0,0,0,0,0,0,0,7358
동해하수종말처리장 태양광,2018-01-03,0,0,0,0,0,0,0,2,216,751,830,1280,713,1487,1129,311,180,2,0,0,0,0,0,0,6901
동해하수종말처리장 태양광,2018-01-04,0,0,0,0,0,0,0,2,250,569,448,320,340,583,441,261,90,0,0,0,0,0,0,0,3304
동해하수종말처리장 태양광,2018-01-05,0,0,0,0,0,0,0,0,99,223,679,524,320,481,625,311,176,4,0,0,0,0,0,0,3442
동해하수종말처리장 태양광,2018-01-06,0,0,0,0,0,0,0,2,223,734,1294,1597,1692,1620,1247,567,198,0,0,0,0,0,0,0,9174
동해하수종말처리장 태양광,2018-01-07,0,0,0,0,0,0,0,2,252,472,1076,1004,1150,646,288,167,47,0,0,0,0,0,0,0,5104
동해하수종말처리장 태양광,2018-01-08,0,0,0,0,0,0,0,0,9,20,221,639,340,333,580,254,77,0,0,0,0,0,0,0,2473
동해하수종말처리장 태양광,2018-01-09,0,0,0,0,0,0,0,0,173,587,1094,1476,1573,1543,907,308,203,0,0,0,0,0,0,0,7864
동해하수종말처리장 태양광,2018-01-10,0,0,0,0,0,0,0,0,218,707,326,320,317,315,544,754,221,2,0,0,0,0,0,0,3724
동해하수종말처리장 태양광,2018-01-11,0,0,0,0,0,0,0,0,227,727,326,319,319,319,803,810,263,4,0,0,0,0,0,0,4117
동해하수종말처리장 태양광,2018-01-12,0,0,0,0,0,0,0,0,218,724,324,320,317,319,878,810,270,4,0,0,0,0,0,0,4184
동해하수종말처리장 태양광,2018-01-13,0,0,0,0,0,0,0,0,216,707,326,322,311,322,322,313,248,7,0,0,0,0,0,0,3094
동해하수종말처리장 태양광,2018-01-14,0,0,0,0,0,0,0,5,211,691,326,322,320,322,486,778,270,9,0,0,0,0,0,0,3740
동해하수종말처리장 태양광,2018-01-15,0,0,0,0,0,0,0,4,180,538,918,1213,997,320,972,279,171,5,0,0,0,0,0,0,5597
동해하수종말처리장 태양광,2018-01-16,0,0,0,0,0,0,0,0,85,324,351,313,203,112,176,119,18,0,0,0,0,0,0,0,1701
동해하수종말처리장 태양광,2018-01-17,0,0,0,0,0,0,0,0,13,65,157,196,227,207,95,180,108,2,0,0,0,0,0,0,1250
동해하수종말처리장 태양광,2018-01-18,0,0,0,0,0,0,0,0,88,241,315,313,313,319,310,274,95,2,0,0,0,0,0,0,2270
동해하수종말처리장 태양광,2018-01-19,0,0,0,0,0,0,0,4,225,729,382,322,320,320,320,511,239,13,0,0,0,0,0,0,3385
동해하수종말처리장 태양광,2018-01-20,0,0,0,0,0,0,0,7,200,531,355,322,328,320,320,319,225,13,0,0,0,0,0,0,2940
동해하수종말처리장 태양광,2018-01-21,0,0,0,0,0,0,0,4,212,715,380,324,322,322,320,322,223,13,0,0,0,0,0,0,3157
동해하수종말처리장 태양광,2018-01-22,0,0,0,0,0,0,0,0,79,310,313,313,315,322,311,279,193,5,0,0,0,0,0,0,2440
동해하수종말처리장 태양광,2018-01-23,0,0,0,0,0,0,0,5,283,947,400,385,434,362,1481,916,394,14,0,0,0,0,0,0,5621
동해하수종말처리장 태양광,2018-01-24,0,0,0,0,0,0,0,7,292,981,398,385,499,400,1613,1055,409,22,0,0,0,0,0,0,6061
동해하수종말처리장 태양광,2018-01-25,0,0,0,0,0,0,0,7,270,938,400,326,371,335,1296,911,313,23,0,0,0,0,0,0,5190
동해하수종말처리장 태양광,2018-01-26,0,0,0,0,0,0,0,7,290,977,389,374,466,371,1535,1073,434,27,0,0,0,0,0,0,5943
동해하수종말처리장 태양광,2018-01-27,0,0,0,0,0,0,0,9,297,967,389,382,355,320,1208,1001,400,27,0,0,0,0,0,0,5355
동해하수종말처리장 태양광,2018-01-28,0,0,0,0,0,0,0,0,49,401,353,320,320,319,320,630,320,29,0,0,0,0,0,0,3061
동해하수종말처리장 태양광,2018-01-29,0,0,0,0,0,0,0,11,304,947,389,329,409,353,1453,1085,437,34,0,0,0,0,0,0,5751
동해하수종말처리장 태양광,2018-01-30,0,0,0,0,0,0,0,9,329,1024,391,329,378,335,1444,1062,410,25,0,0,0,0,0,0,5736
동해하수종말처리장 태양광,2018-01-31,0,0,0,0,0,0,0,4,153,598,340,317,315,308,308,252,140,29,0,0,0,0,0,0,2764
동해하수종말처리장 태양광,2018-02-01,0,0,0,0,0,0,0,11,362,1028,391,328,392,337,1289,952,452,45,0,0,0,0,0,0,5587
동해하수종말처리장 태양광,2018-02-02,0,0,0,0,0,0,0,13,324,976,387,333,317,331,302,320,263,27,0,0,0,0,0,0,3593
동해하수종말처리장 태양광,2018-02-03,0,0,0,0,0,0,0,9,247,790,373,326,401,346,1213,1015,504,50,0,0,0,0,0,0,5274
동해하수종말처리장 태양광,2018-02-04,0,0,0,0,0,0,0,7,86,223,315,324,344,324,319,887,495,58,0,0,0,0,0,0,3382
동해하수종말처리장 태양광,2018-02-05,0,0,0,0,0,0,0,22,407,1087,396,386,497,439,1615,1190,544,63,0,0,0,0,0,0,6646
동해하수종말처리장 태양광,2018-02-06,0,0,0,0,0,0,0,23,391,1062,398,378,443,421,1609,1179,549,68,0,0,0,0,0,0,6521
동해하수종말처리장 태양광,2018-02-07,0,0,0,0,0,0,0,22,409,1103,925,1069,1017,1629,1438,1125,533,68,0,0,0,0,0,0,9338
동해하수종말처리장 태양광,2018-02-08,0,0,0,0,0,0,0,13,266,839,378,325,320,320,338,1008,479,65,0,0,0,0,0,0,4351
동해하수종말처리장 태양광,2018-02-09,0,0,0,0,0,0,0,11,135,286,320,323,322,319,320,340,410,54,0,0,0,0,0,0,2840
동해하수종말처리장 태양광,2018-02-10,0,0,0,0,0,0,0,0,11,52,113,242,324,319,317,326,329,77,0,0,0,0,0,0,2110
동해하수종말처리장 태양광,2018-02-11,0,0,0,0,0,0,0,32,461,1123,400,405,486,428,1564,1156,583,29,0,0,0,0,0,0,6667
동해하수종말처리장 태양광,2018-02-12,0,0,0,0,0,0,0,34,473,1111,398,372,470,419,1566,1219,560,72,0,0,0,0,0,0,6694
동해하수종말처리장 태양광,2018-02-13,0,0,0,0,0,0,0,38,472,1060,396,338,414,356,1562,1156,553,85,0,0,0,0,0,0,6430
동해하수종말처리장 태양광,2018-02-14,0,0,0,0,0,0,0,29,396,608,322,316,320,320,320,337,297,29,0,0,0,0,0,0,3294
동해하수종말처리장 태양광,2018-02-15,0,0,0,0,0,0,0,13,218,941,394,320,351,328,824,895,477,86,0,0,0,0,0,0,4847
동해하수종말처리장 태양광,2018-02-16,0,0,0,0,0,0,0,22,333,977,382,322,371,369,819,979,495,103,0,0,0,0,0,0,5172
동해하수종말처리장 태양광,2018-02-17,0,0,0,0,0,0,0,52,556,1157,405,383,504,452,1622,1238,657,104,0,0,0,0,0,0,7130
동해하수종말처리장 태양광,2018-02-18,0,0,0,0,0,0,0,49,292,837,394,321,319,322,317,328,529,99,0,0,0,0,0,0,3807
동해하수종말처리장 태양광,2018-02-19,0,0,0,0,0,0,0,41,362,979,396,321,317,320,315,329,419,95,0,0,0,0,0,0,3894
동해하수종말처리장 태양광,2018-02-20,0,0,0,0,0,0,0,40,383,702,358,324,317,320,319,567,410,72,0,0,0,0,0,0,3812
동해하수종말처리장 태양광,2018-02-21,0,0,0,0,0,0,0,36,499,877,389,322,315,322,322,999,619,140,0,0,0,0,0,0,4840
동해하수종말처리장 태양광,2018-02-22,0,0,0,0,0,0,0,61,511,1048,398,319,353,362,887,954,461,77,0,0,0,0,0,0,5431
동해하수종말처리장 태양광,2018-02-23,0,0,0,0,0,0,0,56,468,1028,397,320,317,317,666,940,387,52,0,0,0,0,0,0,4948
동해하수종말처리장 태양광,2018-02-24,0,0,0,0,0,0,0,52,239,626,346,316,317,320,221,47,16,0,0,0,0,0,0,0,2500
동해하수종말처리장 태양광,2018-02-25,0,0,0,0,0,0,0,14,178,608,380,324,319,320,319,331,457,58,0,0,0,0,0,0,3308
동해하수종말처리장 태양광,2018-02-26,0,0,0,0,0,0,0,90,554,1046,405,340,405,360,1208,823,153,34,0,0,0,0,0,0,5418
동해하수종말처리장 태양광,2018-02-27,0,0,0,0,0,0,0,92,520,922,389,321,320,320,311,319,299,59,0,0,0,0,0,0,3872
동해하수종말처리장 태양광,2018-02-28,0,0,0,0,0,0,0,0,0,0,29,20,32,49,23,14,0,0,0,0,0,0,0,0,167
동해하수종말처리장 태양광,2018-03-01,0,0,0,0,0,0,0,25,299,1150,443,518,619,567,1735,1436,830,232,2,0,0,0,0,0,7856
동해하수종말처리장 태양광,2018-03-02,0,0,0,0,0,0,0,146,729,1296,430,467,540,515,1764,1372,794,227,0,0,0,0,0,0,8280
동해하수종말처리장 태양광,2018-03-03,0,0,0,0,0,0,0,137,675,1210,400,356,445,401,1669,1296,767,212,4,0,0,0,0,0,7572
동해하수종말처리장 태양광,2018-03-04,0,0,0,0,0,0,0,31,184,571,369,378,313,311,275,326,261,34,0,0,0,0,0,0,3053
동해하수종말처리장 태양광,2018-03-05,0,0,0,0,0,0,0,2,29,70,140,243,277,214,94,79,70,31,0,0,0,0,0,0,1249
동해하수종말처리장 태양광,2018-03-06,0,0,0,0,0,0,0,187,738,1309,434,508,569,526,1021,230,86,25,0,0,0,0,0,0,5633
동해하수종말처리장 태양광,2018-03-07,0,0,0,0,0,0,0,63,212,488,290,265,220,106,103,124,104,34,0,0,0,0,0,0,2009
동해하수종말처리장 태양광,2018-03-08,0,0,0,0,0,0,0,4,36,104,209,304,310,313,313,259,79,59,0,0,0,0,0,0,1990
동해하수종말처리장 태양광,2018-03-09,0,0,0,0,0,0,0,0,18,40,94,247,290,274,216,79,38,7,0,0,0,0,0,0,1303
동해하수종말처리장 태양광,2018-03-10,0,0,0,0,0,0,0,191,697,1226,401,396,486,436,1557,1262,698,216,7,0,0,0,0,0,7573
동해하수종말처리장 태양광,2018-03-11,0,0,0,0,0,0,0,214,772,1249,407,398,450,401,1679,1325,781,247,5,0,0,0,0,0,7928
동해하수종말처리장 태양광,2018-03-12,0,0,0,0,0,0,0,140,572,1048,396,317,320,317,1231,1273,693,230,9,0,0,0,0,0,6546
동해하수종말처리장 태양광,2018-03-13,0,0,0,0,0,0,0,221,776,1276,409,376,416,403,1665,1305,794,254,7,0,0,0,0,0,7902
동해하수종말처리장 태양광,2018-03-14,0,0,0,0,0,0,0,184,668,1138,401,331,380,385,1661,1332,808,266,7,0,0,0,0,0,7561
동해하수종말처리장 태양광,2018-03-15,0,0,0,0,0,0,0,31,146,265,225,252,250,212,230,284,202,95,0,0,0,0,0,0,2192
