지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10)
106,동해,2019-01-01,-3.2,3.5,,2,25.1,9.6,,2.4
106,동해,2019-01-02,-4.1,4.9,,2.4,22,9.6,,0
106,동해,2019-01-03,-3.4,5,,1.7,25.9,9.7,,.3
106,동해,2019-01-04,-1.6,8.7,,2.1,28.1,9.7,,4.1
106,동해,2019-01-05,-2.2,5,,2.7,41.6,9.7,,4.3
106,동해,2019-01-06,-2.7,6.4,,1.5,46.5,9.7,,3.1
106,동해,2019-01-07,-1.5,6.5,,2.1,23.8,9.7,,3
106,동해,2019-01-08,-2.1,5.9,,2.8,20.8,9.7,,1.6
106,동해,2019-01-09,-3.8,4.3,,2,32.1,9.8,,4.9
106,동해,2019-01-10,.6,9.3,,2,19,9.8,,4
106,동해,2019-01-11,-.7,6.6,,1.5,52.8,9.8,,4.3
106,동해,2019-01-12,1.2,5.2,3.5,1.2,85.3,9.8,,8.3
106,동해,2019-01-13,-.9,7.4,,1.9,72.6,9.8,,.1
106,동해,2019-01-14,-.3,8.5,,1.6,46,9.8,,4.1
106,동해,2019-01-15,-1.3,6.2,,3.1,39.6,9.9,,4.5
106,동해,2019-01-16,-6,4.5,,2.6,27.3,9.9,,2.8
106,동해,2019-01-17,-.4,7.2,,3.3,30.9,9.9,,0
106,동해,2019-01-18,-.6,7.9,,1.9,30.5,9.9,,1.6
106,동해,2019-01-19,1.3,9.3,,1.4,36.9,10,,7.4
106,동해,2019-01-20,.3,7.2,,3.5,33,10,,2.6
106,동해,2019-01-21,-1,5.7,,3.8,32.8,10,,.1
106,동해,2019-01-22,-.7,9.8,,2.3,32,10,,.3
106,동해,2019-01-23,1,10.9,,2.6,37.9,10.1,,2.4
106,동해,2019-01-24,-1.9,6.8,,1.5,45,10.1,,1.6
106,동해,2019-01-25,-1.7,6.1,2.6,3.4,41.9,10.1,,4.1
106,동해,2019-01-26,-1.9,3.4,0,3.4,38.1,10.1,,3.9
106,동해,2019-01-27,-2.4,10,,1.7,27.1,10.2,,4.1
106,동해,2019-01-28,.9,8.4,,3.2,32.6,10.2,,2.5
106,동해,2019-01-29,-2.8,7.5,,1.9,40.9,10.2,,3
106,동해,2019-01-30,2.3,12.8,,1.8,20.9,10.3,,6.9
106,동해,2019-01-31,-2,8.2,8.2,2.1,67.8,10.3,,8.9
106,동해,2019-02-01,-5,5.5,,2,39,10.3,,.1
106,동해,2019-02-02,-1.3,9.2,,1.5,45.3,10.4,,3.6
106,동해,2019-02-03,3.2,7.1,4.5,1.3,79.6,10.4,,9
106,동해,2019-02-04,1.5,7.9,,2.4,23.8,10.4,,2.1
106,동해,2019-02-05,-.4,9.9,,1.5,24.4,10.5,,3.9
106,동해,2019-02-06,2.4,11.5,,2,53.5,10.5,,6.5
106,동해,2019-02-07,.1,6.9,1.1,3.8,64.5,10.5,,6.3
106,동해,2019-02-08,-2.9,1.9,,1.8,43.1,10.6,,7
106,동해,2019-02-09,-2.2,3,,2.9,38.1,10.6,,5.8
106,동해,2019-02-10,-4.9,3.3,0,1.2,59.8,10.6,,7.5
106,동해,2019-02-11,-1,5.4,,2.7,23.3,10.7,,1.9
106,동해,2019-02-12,-2.4,4.2,,1.4,37.4,10.7,,2.9
106,동해,2019-02-13,-1,4.7,,3.2,34.4,10.7,,3.3
106,동해,2019-02-14,-2.9,2,3.3,1,79,10.8,,8.5
106,동해,2019-02-15,-.3,8.9,,1.9,52.5,10.8,,7.4
106,동해,2019-02-16,-1.6,3.9,,2.5,44.9,10.8,,1
106,동해,2019-02-17,-2.8,5.6,,1.6,37,10.9,,0
106,동해,2019-02-18,-.4,9.3,,1.5,37.9,10.9,,6.6
106,동해,2019-02-19,2.4,7.9,6.3,1.3,76.4,11,,8
106,동해,2019-02-20,1,7.7,,2.4,53.1,11,,2.5
106,동해,2019-02-21,-1,8.9,,1.8,62.6,11,,1.2
106,동해,2019-02-22,.6,9.5,,2.1,62.4,11.1,,5.1
106,동해,2019-02-23,2.2,9.4,.2,2,59.8,11.1,,3.3
106,동해,2019-02-24,-.3,12.4,,1.9,50.4,11.2,,1.9
106,동해,2019-02-25,2.6,10.3,,2.3,43.1,11.2,,5.4
106,동해,2019-02-26,1.2,8.9,,2.8,58.1,11.2,,2.6
106,동해,2019-02-27,3.9,11.6,,1.8,62.5,11.3,,8.3
106,동해,2019-02-28,3.3,10.3,,2.2,55.6,11.3,,4.8
106,동해,2019-03-01,1.4,11.5,,1.7,55.3,11.4,,0
106,동해,2019-03-02,1.6,12.8,,1.9,55.9,11.4,,4.6
106,동해,2019-03-03,3.4,13.7,,1.7,61.4,11.4,,5.5
106,동해,2019-03-04,4.6,13.2,,1.3,66.1,11.5,,2.9
106,동해,2019-03-05,3.9,14.1,,1.6,47.9,11.5,,5.1
106,동해,2019-03-06,5.5,13.2,.1,2,52.6,11.6,,7.6
106,동해,2019-03-07,3,8.5,9.5,3.1,73.4,11.6,,6.1
106,동해,2019-03-08,.9,12.5,,2.1,55,11.6,,.1
106,동해,2019-03-09,5.6,15.4,,1.2,23.6,11.7,,5.4
106,동해,2019-03-10,5.9,12,3.9,2.7,55,11.7,,9.9
106,동해,2019-03-11,1.4,11.8,,1.6,54.4,11.7,,5.9
106,동해,2019-03-12,3.1,12.7,0,4.2,43,11.8,,2.1
106,동해,2019-03-13,.4,8.8,,4.5,23.1,11.8,,0
106,동해,2019-03-14,.6,10.1,,2.7,29.1,11.9,,3.9
106,동해,2019-03-15,2.2,10.9,15,2,61.1,11.9,,5.8
106,동해,2019-03-16,.9,10.2,.2,2,59.4,12,,5
106,동해,2019-03-17,3,10.5,,2.6,49,12,,.8
106,동해,2019-03-18,2.6,17.3,,2,32.3,12,,5.9
106,동해,2019-03-19,9.3,20.1,,1.8,32,12.1,,2
106,동해,2019-03-20,9.4,18.9,8.7,1.4,59.9,12.1,,8.8
106,동해,2019-03-21,7.7,17,2.5,3,65.3,12.2,,8
106,동해,2019-03-22,2.4,8.6,,2.6,54.6,12.2,,6.4
106,동해,2019-03-23,1.4,10.6,.8,2.9,36.5,12.2,,2
106,동해,2019-03-24,1.2,11.9,,2.4,34.4,12.3,,.1
106,동해,2019-03-25,3.5,17.2,,1.9,38.1,12.3,,3.4
106,동해,2019-03-26,7.5,15.9,,2.7,45.5,12.4,,1.3
106,동해,2019-03-27,7.9,20.6,0,5.1,56.5,12.4,,6.5
106,동해,2019-03-28,4.2,7.9,8.1,1.7,89.3,12.4,,8.9
106,동해,2019-03-29,3.1,10.2,,2.4,68.4,12.5,,6.5
106,동해,2019-03-30,4.6,12.8,2.7,2.5,67.6,12.5,,5.4
106,동해,2019-03-31,4.2,9.2,,3.8,46.6,12.6,,2.8
106,동해,2019-04-01,2.7,9.7,,3.3,33.8,12.6,,2
106,동해,2019-04-02,3.7,10.1,,3,40.1,12.6,,2.5
106,동해,2019-04-03,3.7,12.2,,3.2,35,12.7,,.5
106,동해,2019-04-04,9.3,20.6,,6.3,17.8,12.7,,1.1
106,동해,2019-04-05,7.7,18.6,,3.9,43.4,12.8,,2.6
106,동해,2019-04-06,7.3,14.6,.6,1.3,46.5,12.8,,6.8
106,동해,2019-04-07,6.6,14.1,0,2.4,54.9,12.8,,4.6
106,동해,2019-04-08,5.5,15.6,,3.2,49.3,12.9,,2.8
106,동해,2019-04-09,1.6,12.4,18.4,3.5,55.8,12.9,,7.1
106,동해,2019-04-10,1.2,6.8,32.2,1.5,94.6,13,,7.4
106,동해,2019-04-11,1.3,12.2,,1.6,71.5,13,,6.6
106,동해,2019-04-12,5.6,14.5,,1.9,59.5,13,,1.4
106,동해,2019-04-13,6.9,18.2,,1.7,44.9,13.1,,4.6
106,동해,2019-04-14,7.4,14.1,0,2.3,44,13.1,,7
106,동해,2019-04-15,5.1,16.5,,2.1,37.9,13.1,,0
106,동해,2019-04-16,10.9,24.8,,1.9,20.4,13.2,,3.5
106,동해,2019-04-17,11.5,21,,2.1,28.8,13.2,,2.3
106,동해,2019-04-18,12.3,22.9,,2,48.5,13.3,,5.1
106,동해,2019-04-19,5.3,12.2,0,2.3,56.8,13.3,,5.9
106,동해,2019-04-20,4.4,15.8,,2.3,73.5,13.3,,3.5
106,동해,2019-04-21,10.3,17.8,,2.1,69.6,13.4,,7.5
106,동해,2019-04-22,8.8,15.9,,1.2,83.3,13.4,,2.5
106,동해,2019-04-23,10.4,21.8,0,1.1,73.9,13.4,,7.8
106,동해,2019-04-24,11.2,19.3,4.8,1.9,85.9,13.5,,9
106,동해,2019-04-25,7.3,13,5.9,2.4,78.4,13.5,,9.3
106,동해,2019-04-26,6.5,9.3,38.8,2.9,91.5,13.6,,8.1
106,동해,2019-04-27,5,14.4,.9,1.5,64.4,13.6,,3.8
106,동해,2019-04-28,8.3,15.7,,1.2,63.9,13.6,,8.8
106,동해,2019-04-29,7.3,14.3,1,1.3,81.1,13.7,,9.1
106,동해,2019-04-30,8.7,15.2,,1.2,86.4,13.7,,4.6
106,동해,2019-05-01,9.8,18.1,,1.2,82.4,13.7,,4.4
106,동해,2019-05-02,9.6,22,,2.1,61.9,13.8,,.3
106,동해,2019-05-03,10.5,19.5,,1.9,69.1,13.8,,.1
106,동해,2019-05-04,9.7,16.9,,1.6,85.3,13.8,,3.8
106,동해,2019-05-05,12.2,23.3,,1.1,45.4,13.9,,7.1
106,동해,2019-05-06,6.5,21.3,1.6,3.7,57.9,13.9,,4.9
106,동해,2019-05-07,5.9,21.7,,3,30.1,13.9,,.1
106,동해,2019-05-08,16,25,,4.7,21.1,14,,4.6
106,동해,2019-05-09,17.1,26.1,,2.6,24.8,14,,3.9
106,동해,2019-05-10,14.3,25,,1.8,40.4,14,,2.6
106,동해,2019-05-11,12.4,20.4,,1.1,69.8,14.1,,3.4
106,동해,2019-05-12,11.1,16,,2.7,80.3,14.1,,7
106,동해,2019-05-13,11.7,16.3,,1.6,80.9,14.1,,8.4
106,동해,2019-05-14,11.5,18.5,,1.1,85.3,14.1,,3.8
106,동해,2019-05-15,13.1,20,,1.7,80.6,14.2,,4.9
106,동해,2019-05-16,13.2,18.8,,1.3,83.6,14.2,,3.9
106,동해,2019-05-17,16.9,25.2,,1.6,56.8,14.2,,6.8
106,동해,2019-05-18,15.7,22.6,1.3,1.9,71.3,14.3,,7.1
106,동해,2019-05-19,14.8,21.7,0,1.6,78.4,14.3,,7.1
106,동해,2019-05-20,13.6,22.5,0,3.1,49.9,14.3,,
106,동해,2019-05-21,13.1,25.2,,3.6,28.6,14.3,,1
106,동해,2019-05-22,15.9,27.9,,3.8,21.3,14.4,,2.6
106,동해,2019-05-23,16.6,26.8,,1.8,28.4,14.4,,1.1
106,동해,2019-05-24,18.4,27.4,,1.7,41,14.4,,2.3
106,동해,2019-05-25,21.6,33.3,,1.8,31,14.4,,6
