,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),년월일,총량(kw)
0,2013-01-01,-2.8,8.0,,3.1,48.5,9.9,8.99,3.4,2013-01-01,988.74
1,2013-01-02,-5.9,3.6,,4.0,40.9,9.9,10.3,1.5,2013-01-02,1267.92
2,2013-01-03,-7.7,-1.0,,3.9,26.3,9.9,10.77,2.8,2013-01-03,1259.316
3,2013-01-04,-8.1,2.8,,3.7,24.6,9.9,11.36,0.3,2013-01-04,1386.864
4,2013-01-05,-3.8,3.4,,3.4,26.4,9.9,11.14,0.8,2013-01-05,1408.356
5,2013-01-06,-2.8,6.6,,3.9,33.6,9.9,11.1,3.4,2013-01-06,1269.3239999999998
6,2013-01-07,-2.0,7.1,,3.7,17.6,9.9,11.58,0.9,2013-01-07,1420.524
7,2013-01-08,-1.9,7.0,,2.7,27.1,9.9,10.78,0.3,2013-01-08,1310.904
8,2013-01-09,-4.0,2.5,,3.1,25.5,9.9,11.21,1.3,2013-01-09,1382.976
9,2013-01-10,-5.8,4.5,,3.9,22.4,10.0,12.23,0.0,2013-01-10,1508.112
10,2013-01-11,-5.3,7.7,,3.1,23.8,10.0,11.85,2.1,2013-01-11,1450.944
11,2013-01-12,1.6,11.3,,3.1,40.3,10.0,11.17,1.4,2013-01-12,1329.516
12,2013-01-13,1.4,8.1,,3.0,51.0,10.0,3.42,9.1,2013-01-13,250.236
13,2013-01-14,2.1,11.0,,3.7,43.1,10.0,10.88,0.5,2013-01-14,1221.156
14,2013-01-15,0.7,10.1,,2.1,49.1,10.1,10.21,2.0,2013-01-15,1048.8239999999998
15,2013-01-16,0.9,10.3,,2.6,46.8,10.1,10.22,1.8,2013-01-16,1148.364
16,2013-01-17,-2.0,5.1,0.0,3.2,48.9,10.1,8.34,2.9,2013-01-17,816.552
17,2013-01-18,-4.3,6.8,,4.0,32.1,10.1,12.41,0.0,2013-01-18,1493.7839999999999
18,2013-01-19,-2.7,8.4,,3.1,39.8,10.1,11.85,0.4,2013-01-19,1401.6960000000001
19,2013-01-20,1.0,11.0,,2.0,49.6,10.2,8.32,7.1,2013-01-20,754.704
20,2013-01-21,7.1,9.0,20.5,2.4,83.3,10.2,0.76,10.0,2013-01-21,27.468000000000004
21,2013-01-22,5.3,9.0,2.0,3.3,76.0,10.2,4.09,10.0,2013-01-22,285.58799999999997
22,2013-01-23,4.4,8.3,,3.5,72.3,10.2,5.73,9.8,2013-01-23,446.832
23,2013-01-24,1.0,6.9,,4.2,56.6,10.3,8.56,2.8,2013-01-24,810.8639999999999
24,2013-01-25,-3.1,4.8,,3.8,26.5,10.3,13.34,0.0,2013-01-25,1548.576
