지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10)
159,부산,2020-01-01,-3.2,7.8,,2.3,44,9.8,12.32,1
159,부산,2020-01-02,0.5,9.6,,2.8,53.1,9.9,11.17,0.4
159,부산,2020-01-03,2.3,11.6,,3,43,9.9,12.09,0.1
159,부산,2020-01-04,2,9.7,,2.9,34.8,9.9,10.85,2.5
159,부산,2020-01-05,2.6,13.5,,1.3,51.1,9.9,11.9,1
159,부산,2020-01-06,5.5,9,10.7,1.5,89.4,9.9,1.72,9.8
159,부산,2020-01-07,9,17.7,26.3,6.1,96.6,9.9,0.7,10
159,부산,2020-01-08,4.9,15,0,6.4,63.5,9.9,12.12,4.1
159,부산,2020-01-09,2.3,9.8,,2.6,48,9.9,10.61,4.5
159,부산,2020-01-10,0.9,12.3,,1.8,40.5,10,11.99,1.6
159,부산,2020-01-11,1.9,10.5,,3.3,39.5,10,12.5,3.6
159,부산,2020-01-12,2,8.8,,4.4,45.4,10,12.84,2.9
159,부산,2020-01-13,1,8.1,,3.3,47.3,10,12.4,1.3
159,부산,2020-01-14,-0.3,5.5,,2.4,39.8,10,5.87,6.1
159,부산,2020-01-15,-0.4,7,,2.7,39.6,10,13.32,0.3
159,부산,2020-01-16,-0.3,9.5,,2.2,31.1,10.1,10.67,7.5
159,부산,2020-01-17,3.2,11.8,,1.7,39.6,10.1,8.72,7.3
159,부산,2020-01-18,1.4,9.8,2.6,3.2,60.9,10.1,7.32,8
159,부산,2020-01-19,2.1,9.4,,3.9,40.9,10.1,8.89,3.5
159,부산,2020-01-20,1.6,9.8,,2.7,45.6,10.2,12.44,0.1
159,부산,2020-01-21,0.1,10.3,,2.2,47.5,10.2,14,1.6
159,부산,2020-01-22,4.8,9.3,9.6,1.8,82.3,10.2,1.52,9.9
159,부산,2020-01-23,8.1,10.1,4.9,2.6,97.1,10.2,2.34,9.8
159,부산,2020-01-24,5.9,15.9,,2.4,64,10.2,12.13,6.6
159,부산,2020-01-25,8,11.6,0,2.9,66,10.3,5.12,9.6
159,부산,2020-01-26,7.4,13.8,0,3.9,64,10.3,7.48,9.3
159,부산,2020-01-27,4.8,10,73.3,6,96,10.3,0.42,10
159,부산,2020-01-28,6,13.1,0.3,3.8,69.6,10.4,10.18,8.6
159,부산,2020-01-29,6.6,13,0,2.2,59.6,10.4,7.33,9.3
159,부산,2020-01-30,4.2,12.9,0,2.3,55.3,10.4,9.77,6.3
159,부산,2020-01-31,2.3,11.2,,2,51.8,10.4,12.86,2.9
159,부산,2020-02-01,1.5,10.4,,2.4,50.1,10.5,14.67,0.5
159,부산,2020-02-02,3.3,11.7,,2.1,49.9,10.5,13.97,1.6
159,부산,2020-02-03,2.4,10.4,,2.2,42.8,10.5,14.22,1.8
159,부산,2020-02-04,0.3,10.1,,3.9,34,10.6,15.85,0
159,부산,2020-02-05,-2.4,5,,3.6,26,10.6,16.68,0
159,부산,2020-02-06,-5,7.1,,3,36.4,10.6,15.05,3.9
159,부산,2020-02-07,2.1,10.4,,2.4,41.5,10.7,13.52,5.5
159,부산,2020-02-08,0.4,9.4,,2.9,41.3,10.7,15.62,0.4
159,부산,2020-02-09,-0.7,8.9,,3.8,38.6,10.7,16.32,0.4
159,부산,2020-02-10,0.7,12.2,,2.2,47.4,10.8,14.86,0.3
159,부산,2020-02-11,4.4,14.5,,1.7,59.6,10.8,11.93,5.3
159,부산,2020-02-12,9.9,14.1,32.7,3,94.6,10.8,0.81,8.8
159,부산,2020-02-13,8.1,16.2,,3.7,81.3,10.9,16.29,2.8
159,부산,2020-02-14,9.2,18.1,,2.1,73.5,10.9,15.83,3.3
159,부산,2020-02-15,9.7,17.3,,3.1,75.4,10.9,13.51,7.3
159,부산,2020-02-16,0.8,13.7,4.1,4.6,65.5,10.9,12.79,6
159,부산,2020-02-17,-3,3,,6.8,42.3,11,11.79,1.9
159,부산,2020-02-18,-4.5,7.9,,2.8,36.8,11,18.79,0
159,부산,2020-02-19,0.1,12.5,,2.5,38.4,11,17.43,4.8
159,부산,2020-02-20,4.6,14.7,,1.5,45.9,11.1,,1.9
159,부산,2020-02-21,5.5,16,4.1,1.8,63.3,11.1,17.03,6
159,부산,2020-02-22,5.1,12.9,0.7,5.9,44,11.2,17.67,2.3
159,부산,2020-02-23,1.1,11.7,,3.8,40.5,11.2,19.49,0
159,부산,2020-02-24,5.5,15.7,0,4.3,46.9,11.2,16.7,5
159,부산,2020-02-25,7.9,12.7,49.8,3.1,94.3,11.3,0.47,10
159,부산,2020-02-26,6.8,14.1,1.8,3,79.3,11.3,9.6,9.5
159,부산,2020-02-27,4.7,10.7,1.5,3,66.4,11.3,10.89,7.3
159,부산,2020-02-28,4.8,8.9,0.2,1.7,70,11.4,2.73,9
159,부산,2020-02-29,7,13,,2,72.9,11.4,8.61,7.6
159,부산,2020-03-01,7.2,15.6,,2.4,67.3,11.5,15.78,6
159,부산,2020-03-02,5.2,14.7,,3.3,50.9,11.5,18.86,4.4
159,부산,2020-03-03,5.6,12.6,,2.9,63.9,11.5,11.58,7.5
159,부산,2020-03-04,1.7,13,,3.6,43.1,11.5,18.55,4
159,부산,2020-03-05,-0.3,11.5,,3.6,42.3,11.6,21.06,0
159,부산,2020-03-06,3.2,12.6,,3,46.4,11.6,20.32,1.3
159,부산,2020-03-07,6.1,11.8,7,1.7,75.6,11.7,5.09,8.6
159,부산,2020-03-08,5.5,16.4,,2.8,67.3,11.7,20.59,0.4
159,부산,2020-03-09,7.4,15.2,11,2.2,79.5,11.7,6.66,9.4
159,부산,2020-03-10,7.3,12.1,13.9,,83.6,11.8,,8.3
159,부산,2020-03-11,3.6,13.5,,3.3,37,11.8,22.48,0
159,부산,2020-03-12,3.6,14.5,,4.1,39.5,11.8,22.29,1.5
159,부산,2020-03-13,8.5,17,,3.3,48.5,11.9,19.23,6.8
159,부산,2020-03-14,4.7,12,,3.1,21,11.9,23.39,2.1
159,부산,2020-03-15,2.9,12.7,0,5.3,39.6,12,18.02,2.4
159,부산,2020-03-16,1.1,11.8,,4.7,43,12,22.6,1
159,부산,2020-03-17,6,15.9,,6,48.1,12,21.48,2.1
159,부산,2020-03-18,7.7,17.3,,3.7,50,12.1,23.07,0
159,부산,2020-03-19,7.4,18.2,,6.7,55.1,12.1,21.04,1.5
159,부산,2020-03-20,6.4,14.8,,5.1,38.8,12.1,22.83,0
159,부산,2020-03-21,9.8,17.9,,6.6,64.3,12.2,20.91,0.9
159,부산,2020-03-22,11,17.5,,4.4,67.5,12.2,19.02,5
159,부산,2020-03-23,8.8,17.1,,3.6,46,12.3,23.07,0
159,부산,2020-03-24,8.6,15.3,,3,52.3,12.3,16.35,2
159,부산,2020-03-25,7.6,17.9,,1.6,57.1,12.3,22.95,2.4
159,부산,2020-03-26,12.1,16.3,24.6,1.6,83.1,12.4,3.46,9.8
159,부산,2020-03-27,9.7,16.8,1.9,2.8,97.6,12.4,2.68,10
159,부산,2020-03-28,7.7,13,0.4,3.1,69.6,12.4,8.01,9.1
159,부산,2020-03-29,6.4,15.1,,3.6,58.1,12.5,17.73,7
159,부산,2020-03-30,8.6,15.7,,2.8,62.9,12.5,21.6,6.3
159,부산,2020-03-31,8.5,18,,2.8,65.1,12.6,24.17,3.4
159,부산,2020-04-01,10.8,17.1,2.7,2.7,60.1,12.6,13.11,6.5
159,부산,2020-04-02,7.2,16.2,,3.5,42.8,12.6,23.91,3.3
159,부산,2020-04-03,9.6,19.1,,3.8,38.6,12.7,24.44,1.9
159,부산,2020-04-04,8.5,19.6,,4,43.3,12.7,25.08,2
159,부산,2020-04-05,5.6,14.1,,3.4,43.4,12.7,26.14,0.1
159,부산,2020-04-06,7.3,15.1,,3.8,47.3,12.8,24.75,3.9
159,부산,2020-04-07,9.5,20.6,,3.4,39.6,12.8,23.49,1.4
159,부산,2020-04-08,9.2,19.1,,3.6,44.9,12.8,25.54,0.6
159,부산,2020-04-09,8,18,,3.2,47.8,12.9,24.42,1
159,부산,2020-04-10,8.3,12.2,0,2.6,54.8,12.9,6.51,8.5
159,부산,2020-04-11,7.9,14.2,2.9,2.1,68.1,12.9,11.23,9.5
159,부산,2020-04-12,7.2,11.9,12,4,79.4,13,7.46,9.8
159,부산,2020-04-13,6.8,15.5,0,3.5,43.3,13,16.29,5.5
159,부산,2020-04-14,8.8,21.1,,3.9,32.9,13.1,27.26,1.3
159,부산,2020-04-15,12,18.4,,3.1,44.6,13.1,19.43,6.9
159,부산,2020-04-16,10.5,16.7,,3.5,65.5,13.1,22.61,5.3
159,부산,2020-04-17,11.3,13.1,32.6,2.3,88.6,13.2,2.53,8.8
159,부산,2020-04-18,10.2,20.6,,2.6,73.4,13.2,24.87,4.4
159,부산,2020-04-19,10.5,14.7,33.2,3.2,84.5,13.2,6.39,9.9
159,부산,2020-04-20,10.1,18.1,0.1,4.5,68.5,13.3,23.34,5.8
159,부산,2020-04-21,8.1,18.8,,5.6,31.8,13.3,26.99,5.5
159,부산,2020-04-22,5.1,16,,5.3,33.1,13.3,27.26,2
159,부산,2020-04-23,4.4,16.9,,3.6,36.9,13.4,27.83,0.8
159,부산,2020-04-24,6.1,14.7,,5.1,39.1,13.4,28.16,0
159,부산,2020-04-25,10.1,18.3,,6.5,60.9,13.4,26.44,0
159,부산,2020-04-26,10.4,21.3,,3.2,53,13.5,27.15,1.5
159,부산,2020-04-27,9.5,19.5,,3,52.5,13.5,24.45,2.9
159,부산,2020-04-28,9.5,20.9,,3.8,51,13.5,27.77,0.5
159,부산,2020-04-29,11.4,24.4,,3.4,42.5,13.6,27.45,0
159,부산,2020-04-30,13,20.1,,6.1,64.9,13.6,27.45,1.5
159,부산,2020-05-01,16.7,22.7,,5.8,77,13.6,26.87,2.4
159,부산,2020-05-02,17,21.8,1.1,4.2,83.1,13.6,17.2,8.5
159,부산,2020-05-03,16.2,17.9,21.3,2.3,95.3,13.7,3.05,10
159,부산,2020-05-04,15.8,25,,2.7,84.8,13.7,24.98,5.1
159,부산,2020-05-05,14.2,18.5,,2.6,79.8,13.7,15.24,9
159,부산,2020-05-06,14,21.8,,3,65.3,13.8,28.54,2.3
159,부산,2020-05-07,12.5,21,,3.6,50.4,13.8,29.25,4
159,부산,2020-05-08,12.3,21.1,,3,65.8,13.8,23.22,6.3
159,부산,2020-05-09,14.8,18.6,50.8,3.6,91.8,13.9,2.08,10
159,부산,2020-05-10,14.7,20.6,,5.1,76.4,13.9,20.27,5.8
159,부산,2020-05-11,15.3,25.4,,3.8,63.6,13.9,29.38,1
159,부산,2020-05-12,15.6,21.4,,5.9,58.3,13.9,27.04,1.3
159,부산,2020-05-13,12.5,22.8,,3.6,46.3,14,29.91,0.1
159,부산,2020-05-14,16.4,25.4,,2.8,38.4,14,25.69,5.6
